iter	Passed	Remaining
170	3430	36691
171	3450	36669
172	3471	36656
173	3494	36675
174	3514	36656
175	3536	36651
176	3555	36616
177	3565	36494
178	3584	36467
179	3601	36411
180	3618	36365
181	3638	36345
182	3659	36331
183	3678	36305
184	3700	36301
185	3717	36253
186	3737	36232
187	3758	36225
188	3779	36219
189	3801	36214
190	3822	36207
191	3846	36225
192	3868	36223
193	3892	36240
194	3915	36242
195	3938	36249
196	3957	36217
197	3974	36175
198	3996	36170
199	4017	36157
200	4037	36136
201	4056	36110
202	4080	36119
203	4099	36092
204	4123	36108
205	4133	35999
206	4154	35989
207	4176	35983
208	4197	35969
209	4213	35914
210	4232	35883
211	4256	35899
212	4279	35902
213	4297	35865
214	4317	35845
215	4341	35859
216	4363	35849
217	4382	35824
218	4402	35804
219	4424	35797
220	4446	35789
221	4466	35771
222	4489	35771
223	4510	35764
224	4523	35687
225	4543	35662
226	4562	35639
227	4582	35618
228	4606	35622
229	4623	35578
230	4639	35531
231	4652	35454
232	4672	35437
233	4693	35419
234	4715	35419
235	4737	35408
236	4753	35361
237	4774	35347
238	4795	35336
239	4818	35338
240	4837	35307
241	4859	35302
242	4871	35220
243	4888	35179
244	4907	35155
245	4929	35147
246	4946	35106
247	4967	35089
248	4988	35078
249	5008	35058
250	5028	35041
251	5048	35017
252	5068	34995
253	5091	35001
254	5102	34918
255	5123	34902
256	5142	34875
257	5161	34850
258	5181	34833
259	5199	34793
260	5219	34774
261	5240	34761
262	5261	34750
263	5281	34730
264	5297	34686
265	5321	34690
266	5340	34665
267	5358	34633
268	5379	34614
269	5404	34626
270	5415	34551
271	5436	34539
272	5458	34530
273	5479	34514
274	5499	34496
275	5518	34468
276	5538	34451
277	5556	34419
278	5576	34399
279	5597	34382
280	5620	34381
281	5639	34356
282	5660	34344
283	5684	34346
284	5704	34327
285	5722	34296
286	5745	34295
287	5766	34278
288	5789	34278
289	5814	34283
290	5827	34221
291	5837	34147
292	5858	34128
293	5882	34133
294	5901	34106
295	5924	34106
296	5942	34072
297	5962	34056
298	5983	34038
299	6003	34019
300	6021	33990
301	6040	33963
302	6063	33959
303	6082	33935
304	6105	33930
305	6126	33915
306	6136	33838
307	6159	33838
308	6180	33824
309	6203	33817
310	6224	33802
311	6244	33785
312	6261	33746
313	6284	33741
314	6297	33684
315	6316	33659
316	6339	33657
317	6355	33617
318	6378	33614
319	6400	33601
320	6419	33577
321	6441	33568
322	6463	33560
323	6487	33557
324	6505	33527
325	6528	33526
326	6548	33504
327	6567	33477
328	6589	33467
329	6610	33452
330	6630	33433
331	6650	33411
332	6669	33389
333	6691	33377
334	6712	33363
335	6726	33314
336	6736	33241
337	6757	33228
338	6777	33208
339	6798	33191
340	6816	33161
341	6828	33102
342	6847	33080
343	6867	33061
344	6891	33059
345	6912	33044
346	6933	33029
347	6959	33037
348	6978	33013
349	6999	32996
350	7019	32975
351	7036	32944
352	7060	32943
353	7079	32917
354	7102	32909
355	7122	32893
356	7146	32891
357	7166	32869
358	7187	32856
359	7209	32841
360	7230	32826
361	7254	32824
362	7275	32808
363	7295	32788
364	7308	32740
365	7330	32728
366	7350	32707
367	7373	32700
368	7393	32681
369	7412	32654
370	7430	32626
371	7450	32606
372	7478	32620
373	7489	32563
374	7508	32536
375	7527	32510
376	7547	32493
377	7572	32491
378	7594	32481
379	7613	32456
380	7628	32418
381	7645	32382
382	7665	32364
383	7686	32349
384	7709	32339
385	7726	32305
386	7748	32296
387	7769	32280
388	7791	32265
389	7810	32242
390	7824	32197
391	7844	32177
392	7868	32176
393	7890	32163
394	7910	32144
395	7934	32139
396	7954	32120
397	7972	32088
398	7991	32066
399	8014	32057
400	8036	32046
401	8060	32041
402	8080	32021
403	8100	32001
